symbol,name,reportDate,fiscalDateEnding,estimate,currency,timeOfTheDay
ACCO,ACCO BRANDS CORPORATION,2026-03-09,2025-12-31,0.38,USD,pre-market
ACMLF,ACMLF,2026-03-09,2025-12-31,,USD,
ADLRF,ADLRF,2026-03-09,2025-12-31,0.32,USD,
ADTX,ADITXT INCORPORATED,2026-03-09,2025-12-31,,USD,
AGIG,ABUNDIA GLOBAL IMPACT GROUP INCORPORATED,2026-03-09,2025-12-31,,USD,
AGRPY,AGRPY,2026-03-09,2025-12-31,,USD,
AKTAF,AKTAF,2026-03-09,2025-12-31,0.02,USD,
ALTAF,ALTAF,2026-03-09,2025-12-31,,USD,
ALZN,ALZAMEND NEURO INCORPORATED,2026-03-09,2026-01-31,-0.53,USD,
AMPY,AMPLIFY ENERGY CORP,2026-03-09,2025-12-31,,USD,post-market
ANAB,ANAPTYSBIO INC,2026-03-09,2025-12-31,0.8726,USD,
ANNX,ANNEXON INC,2026-03-09,2025-12-31,-0.32,USD,
ARDDF,ARDDF,2026-03-09,2025-12-31,,USD,
ARDNF,ARDNF,2026-03-09,2025-12-31,,USD,
ARQ,ARQ INC,2026-03-09,2025-12-31,-0.04,USD,post-market
ASNFF,ASNFF,2026-03-09,2025-12-31,,USD,
ASTI,ASCENT SOLAR TECHNOLOGIES INCORPORATED,2026-03-09,2025-12-31,,USD,
AUQSF,AUQSF,2026-03-09,2025-12-31,,USD,
AVDL,AVADEL PHARMACEUTICALS PLC,2026-03-09,2025-12-31,0.0976,USD,
AVSFY,AVSFY,2026-03-09,2025-12-31,,USD,
AXNLF,AXNLF,2026-03-09,2025-12-31,,USD,
BAOS,BAOSHENG MEDIA GROUP HOLDINGS LIMITED,2026-03-09,2025-12-31,,USD,
BETA,BETA TECHNOLOGIES INC - CLASS A,2026-03-09,2025-12-31,-0.52,USD,pre-market
BNED,BARNES & NOBLE EDUCATION INCORPORATED,2026-03-09,2026-01-31,,USD,
BYFC,BROADWAY FINANCIAL CORPORATION,2026-03-09,2025-12-31,,USD,
BZQIF,BZQIF,2026-03-09,2025-12-31,0.12,USD,
CASY,CASEY`S GENERAL STORES INC,2026-03-09,2026-01-31,3.01,USD,post-market
CAWRF,CAWRF,2026-03-09,2025-12-31,,USD,
CHR,CHEER HOLDING INCORPORATED,2026-03-09,2025-12-31,,USD,
CHRS,COHERUS BIOSCIENCES INC,2026-03-09,2025-12-31,-0.38,USD,post-market
CKNHF,CKNHF,2026-03-09,2025-12-31,,USD,
CKNHY,CKNHY,2026-03-09,2025-12-31,,USD,
CLKFF,CLKFF,2026-03-09,2025-12-31,,USD,
CLYM,ELIEM THERAPEUTICS INC,2026-03-09,2025-12-31,-0.1872,USD,
CMCT,CREATIVE MEDIA,2026-03-09,2025-12-31,,USD,pre-market
CMMB,CHEMOMAB THERAPEUTICS LIMITED,2026-03-09,2025-12-31,-0.2,USD,
CMOPF,CMOPF,2026-03-09,2025-12-31,,USD,
CNPTF,CNPTF,2026-03-09,2025-12-31,,USD,
CNSWF,CNSWF,2026-03-09,2025-12-31,28,USD,
CON,CONCENTRA GROUP HOLDINGS PARENT INC,2026-03-09,2025-12-31,0.28,USD,
CPHC,CANTERBURY PARK HOLDING CORPORATION,2026-03-09,2025-12-31,,USD,
CRD-B,CRAWFORD & CO. - CLASS B,2026-03-09,2025-12-31,0.2333,USD,
CRWRF,CRWRF,2026-03-09,2025-12-31,,USD,
CSAN,COSAN S.A,2026-03-09,2025-12-31,,USD,post-market
CSGQF,CSGQF,2026-03-09,2025-12-31,,USD,
CTNGY,CTNGY,2026-03-09,2025-12-31,,USD,
DDD,3D SYSTEMS CORP,2026-03-09,2025-12-31,-0.11,USD,pre-market
DFIHY,DFIHY,2026-03-09,2025-12-31,,USD,
DFILF,DFILF,2026-03-09,2025-12-31,,USD,
DPUKY,DPUKY,2026-03-09,2025-12-31,,USD,
DRIO,DARIOHEALTH CORPORATION,2026-03-09,2025-12-31,-2.44,USD,
DSGN,DESIGN THERAPEUTICS INC,2026-03-09,2025-12-31,-0.37,USD,
EARN,ELLINGTON RESIDENTIAL MORTGAGE REIT,2026-03-09,2025-12-31,0.2483,USD,
ECGFF,ECGFF,2026-03-09,2025-12-31,,USD,
EEEND,EEEND,2026-03-09,2025-12-31,,USD,
EEENF,EEENF,2026-03-09,2025-12-31,,USD,
EGHSF,EGHSF,2026-03-09,2026-01-31,0.37,USD,
EGRX,EAGLE PHARMACEUTICALS INC,2026-03-09,2025-12-31,0,USD,
ELTK,ELTEK LTD,2026-03-09,2025-12-31,,USD,pre-market
EML,EASTERN COMPANY,2026-03-09,2025-12-31,0.36,USD,
ENGN,ENGENE HOLDINGS INCORPORATED,2026-03-09,2026-01-31,-0.55,USD,
ENSC,ENSYSCE BIOSCIENCES INCORPORATED,2026-03-09,2025-12-31,-0.99,USD,
EU,ENCORE ENERGY CORP,2026-03-09,2025-12-31,-0.06,USD,
FCEL,FUELCELL ENERGY INCORPORATED,2026-03-09,2026-01-31,-0.68,USD,pre-market
FCELB,FCELB,2026-03-09,2026-01-31,,USD,
FENC,FENNEC PHARMACEUTICALS INC,2026-03-09,2025-12-31,0.03,USD,
FLNT,FLUENT INCORPORATED,2026-03-09,2025-12-31,-0.06,USD,post-market
GBTG,GLOBAL BUSINESS TRAVEL GROUP INC - CLASS A,2026-03-09,2025-12-31,0.02,USD,pre-market
GEAGF,GEAGF,2026-03-09,2025-12-31,0.9,USD,
GLDAF,GLDAF,2026-03-09,2025-12-31,,USD,
GLRE,GREENLIGHT REINSURANCE LIMITED,2026-03-09,2025-12-31,,USD,post-market
GNE,GENIE ENERGY LTD - CLASS B,2026-03-09,2025-12-31,,USD,
GNS,GENIUS GROUP LIMITED,2026-03-09,2025-12-31,,USD,pre-market
GUTS,FRACTYL HEALTH INC,2026-03-09,2025-12-31,-0.19,USD,
HELNF,HELNF,2026-03-09,2025-12-31,,USD,
HPE,HEWLETT PACKARD ENTERPRISE COMPANY,2026-03-09,2026-01-31,0.49,USD,post-market
HRTG,HERITAGE INSURANCE HOLDINGS INC,2026-03-09,2025-12-31,1.61,USD,pre-market
IINN,INSPIRA TECHNOLOGIES OXY B.H.N. LIMITED,2026-03-09,2025-12-31,,USD,
KFY,KORN FERRY,2026-03-09,2026-01-31,1.22,USD,pre-market
KG,KESTREL GROUP LIMITED,2026-03-09,2025-12-31,,USD,
KRO,KRONOS WORLDWIDE INC,2026-03-09,2025-12-31,-0.26,USD,post-market
KT,KT CORPORATION,2026-03-09,2025-12-31,,USD,
LFMD,LIFEMD INC,2026-03-09,2025-12-31,-0.01,USD,post-market
LHSW,LIANHE SOWELL INTERNATIONAL GROUP LTD,2026-03-09,2025-12-31,,USD,
MPPTF,MPPTF,2026-03-09,2025-12-31,,USD,
MTN,VAIL RESORTS INC,2026-03-09,2026-01-31,6.05,USD,post-market
MYO,MYOMO INC,2026-03-09,2025-12-31,-0.09,USD,post-market
MYPS,PLAYSTUDIOS INC - CLASS A,2026-03-09,2025-12-31,-0.04,USD,
NFE,NEW FORTRESS ENERGY INC - CLASS A,2026-03-09,2025-12-31,-1.08,USD,
NINE,NINE ENERGY SERVICE INC,2026-03-09,2025-12-31,-0.34,USD,
NL,NL INDUSTRIES INC,2026-03-09,2025-12-31,,USD,post-market
NMRA,NEUMORA THERAPEUTICS INC,2026-03-09,2025-12-31,-0.34,USD,
NPWR,NET POWER INC - CLASS A,2026-03-09,2025-12-31,,USD,post-market
NYAX,NAYAX LTD,2026-03-09,2025-12-31,0.24,USD,pre-market
OCC,OPTICAL CABLE CORPORATION,2026-03-09,2026-01-31,,USD,
OKUR,ONKURE THERAPEUTICS INCORPORATED,2026-03-09,2025-12-31,-1.15,USD,
PAY,PAYMENTUS HOLDINGS INC - CLASS A,2026-03-09,2025-12-31,0.17,USD,
PLRX,PLIANT THERAPEUTICS INCORPORATED,2026-03-09,2025-12-31,-0.44,USD,
PMVP,PMV PHARMACEUTICALS INC,2026-03-09,2025-12-31,-0.4,USD,
PPBT,PURPLE BIOTECH LTD,2026-03-09,2025-12-31,-3.4,USD,
PRLD,PRELUDE THERAPEUTICS INC,2026-03-09,2025-12-31,-0.33,USD,
PRSTF,PRSTF,2026-03-09,2025-12-31,,USD,
PSMMF,PSMMF,2026-03-09,2025-12-31,,USD,
RAIL,FREIGHTCAR AMERICA INC,2026-03-09,2025-12-31,0.15,USD,post-market
RDNW,RIDENOW GROUP INC - CLASS B,2026-03-09,2025-12-31,,USD,post-market
RHLD,RESOLUTE HOLDINGS MANAGEMENT INC,2026-03-09,2025-12-31,,USD,
RICK,RCI HOSPITALITY HOLDINGS INCORPORATED,2026-03-09,2025-12-31,,USD,
RNGR,RANGER ENERGY SERVICES INC - CLASS A,2026-03-09,2025-12-31,0.16,USD,
ROYIF,ROYIF,2026-03-09,2025-12-31,,USD,
RPAY,REPAY HOLDINGS CORPORATION - CLASS A,2026-03-09,2025-12-31,0.17,USD,post-market
SAVA,CASSAVA SCIENCES INC,2026-03-09,2025-12-31,,USD,
SBET,SHARPLINK INCORPORATED,2026-03-09,2025-12-31,0.03,USD,pre-market
SIETY,SIETY,2026-03-09,2025-12-31,,USD,
SITIY,SITIY,2026-03-09,2025-12-31,,USD,
SNDX,SYNDAX PHARMACEUTICALS INC,2026-03-09,2025-12-31,-0.5854,USD,
SPRY,ARS PHARMACEUTICALS INC,2026-03-09,2025-12-31,-0.42,USD,pre-market
SPXSY,SPXSY,2026-03-09,2025-12-31,,USD,
SST,SYSTEM1 INCORPORATED,2026-03-09,2025-12-31,,USD,
STKS,ONE GROUP HOSPITALITY INC,2026-03-09,2025-12-31,0.26,USD,
STXS,STEREOTAXIS INC,2026-03-09,2025-12-31,-0.06,USD,post-market
SVCC,STELLAR V CAPITAL CORPORATION,2026-03-09,2025-12-31,,USD,
SYHMY,SYHMY,2026-03-09,2025-12-31,,USD,
TBRG,COMPUTER PROGRAMS & SYSTEMS INC,2026-03-09,2025-12-31,0.31,USD,
TDUP,THREDUP INC - CLASS A,2026-03-09,2025-12-31,-0.038,USD,
TMCGF,TMCGF,2026-03-09,2025-12-31,,USD,
TNYA,TENAYA THERAPEUTICS INC,2026-03-09,2025-12-31,-0.12,USD,
UMAC,UNUSUAL MACHINES INC,2026-03-09,2025-12-31,-0.05,USD,pre-market
UREQF,UREQF,2026-03-09,2025-12-31,,USD,
VOYG,VOYAGER TECHNOLOGIES INC - CLASS A,2026-03-09,2025-12-31,-0.42,USD,post-market
WAVE,ECO WAVE POWER GLOBAL AB,2026-03-09,2025-12-31,,USD,
YALA,YALLA GROUP LTD,2026-03-09,2025-12-31,,USD,post-market
YEXT,YEXT INC,2026-03-09,2026-01-31,0.06,USD,post-market
ZIM,ZIM INTEGRATED SHIPPING SERVICES LTD,2026-03-09,2025-12-31,-1.01,USD,pre-market
ZNWLF,ZNWLF,2026-03-09,2025-12-31,,USD,
ZVRA,ZEVRA THERAPEUTICS INC,2026-03-09,2025-12-31,0.05,USD,post-market
ABM,ABM INDUSTRIES INC,2026-03-10,2026-01-31,0.87,USD,pre-market
ACHV,ACHIEVE LIFE SCIENCES INC,2026-03-10,2025-12-31,-0.27,USD,
ACNT,ASCENT INDUSTRIES COMPANY,2026-03-10,2025-12-31,0.16,USD,
ADAP,ADAP,2026-03-10,2025-12-31,-0.059,USD,
ADAPY,ADAPY,2026-03-10,2025-12-31,-0.059,USD,
ADCT,ADC THERAPEUTICS SA,2026-03-10,2025-12-31,-0.32,USD,pre-market
ADIL,ADIAL PHARMACEUTICALS INCORPORATED,2026-03-10,2025-12-31,-2.1,USD,
AGEN,AGENUS INCORPORATED,2026-03-10,2025-12-31,-1.26,USD,
AGRPF,AGRPF,2026-03-10,2025-12-31,,USD,
AKOBF,AKOBF,2026-03-10,2025-12-31,,USD,
ALNT,ALLIENT INC,2026-03-10,2025-12-31,0.4525,USD,
ANIK,ANIKA THERAPEUTICS INC,2026-03-10,2025-12-31,-0.135,USD,
ANIX,ANIXA BIOSCIENCES INC,2026-03-10,2026-01-31,-0.09,USD,
AOHLF,AOHLF,2026-03-10,2025-12-31,,USD,
AOMR,ANGEL OAK MORTGAGE REIT INC,2026-03-10,2025-12-31,0.3021,USD,
APEOF,APEOF,2026-03-10,2025-12-31,,USD,
APGE,APOGEE THERAPEUTICS INC,2026-03-10,2025-12-31,-0.62,USD,
APYX,APYX MEDICAL CORPORATION,2026-03-10,2025-12-31,-0.06,USD,pre-market
ARQQ,ARQIT QUANTUM INC,2026-03-10,2025-12-31,,USD,
ASBRF,ASBRF,2026-03-10,2025-12-31,40.9,USD,
ASHTY,ASHTY,2026-03-10,2026-01-31,3.43,USD,
ATUSF,ATUSF,2026-03-10,2025-12-31,0.14,USD,
ATVVF,ATVVF,2026-03-10,2025-12-31,,USD,
AUNA,AUNA SA,2026-03-10,2025-12-31,0.13,USD,post-market
AVAV,AEROVIRONMENT INC,2026-03-10,2026-01-31,0.68,USD,post-market
BBAR,BBVA ARGENTINA,2026-03-10,2025-12-31,0.3067,USD,
BBCP,CONCRETE PUMPING HOLDINGS INC - CLASS A,2026-03-10,2026-01-31,-0.09,USD,post-market
BCYC,BICYCLE THERAPEUTICS PLC,2026-03-10,2025-12-31,1.0,USD,
BGM,QILIAN INTERNATIONAL HOLDING GROUP LTD - CLASS A,2026-03-10,2025-12-31,,USD,
BIOX,BIOCERES CROP SOLUTIONS CORP,2026-03-10,2025-12-31,0.07,USD,
BIRD,ALLBIRDS INCORPORATED,2026-03-10,2025-12-31,-2.25,USD,
BLFBY,BLFBY,2026-03-10,2025-12-31,,USD,
BLND,BLEND LABS INC - CLASS A,2026-03-10,2025-12-31,-0.02,USD,post-market
BNRG,BRENMILLER ENERGY LIMITED,2026-03-10,2025-12-31,,USD,
BNTX,BIONTECH SE,2026-03-10,2025-12-31,-0.47,USD,pre-market
BODI,THE BEACHBODY COMPANY INCORPORATED,2026-03-10,2025-12-31,0.01,USD,post-market
BOSSY,BOSSY,2026-03-10,2025-12-31,1.24,USD,
BZ,KANZHUN LIMITED,2026-03-10,2025-12-31,,USD,
CAPS,CAPSTONE HOLDING CORP,2026-03-10,2025-12-31,,USD,
CBKCQ,CBKCQ,2026-03-10,2026-01-31,0,USD,
CDRE,CADRE HOLDINGS INC,2026-03-10,2025-12-31,0.41,USD,post-market
CHMI,CHERRY HILL MORTGAGE INVESTMENT CORPORATION,2026-03-10,2025-12-31,0.11,USD,
CMT,CORE MOLDING TECHNOLOGIES,2026-03-10,2025-12-31,0.23,USD,pre-market
COCCF,COCCF,2026-03-10,2025-12-31,,USD,
COCXF,COCXF,2026-03-10,2025-12-31,,USD,
CPCAY,CPCAY,2026-03-10,2025-12-31,,USD,
CPIX,CUMBERLAND PHARMACEUTICALS INC,2026-03-10,2025-12-31,0,USD,
CPSS,CONSUMER PORTFOLIO SERVICE INC,2026-03-10,2025-12-31,0.23,USD,
CRBP,CORBUS PHARMACEUTICALS HOLDINGS INCORPORATED,2026-03-10,2025-12-31,-1.78,USD,
CRCT,CRICUT INC - CLASS A,2026-03-10,2025-12-31,0.0269,USD,
CRWD,CROWDSTRIKE HOLDINGS INC - CLASS A,2026-03-10,2026-01-31,1.1,USD,
CSBR,CHAMPIONS ONCOLOGY INC,2026-03-10,2026-01-31,,USD,
CSBTF,CSBTF,2026-03-10,2025-12-31,,USD,
CTAGF,CTAGF,2026-03-10,2025-12-31,,USD,
CTM,CASTELLUM INCORPORATED,2026-03-10,2025-12-31,,USD,
CTOS,CUSTOM TRUCK ONE SOURCE INC,2026-03-10,2025-12-31,0.09,USD,pre-market
CURLF,CURLF,2026-03-10,2025-12-31,-0.0788,USD,
CVGI,COMMERCIAL VEHICLE GROUP INC,2026-03-10,2025-12-31,-0.15,USD,post-market
CWVLF,CWVLF,2026-03-10,2025-12-31,,USD,
CYCN,CYCLERION THERAPEUTICS INCORPORATED,2026-03-10,2025-12-31,-0.38,USD,
DMPZF,DMPZF,2026-03-10,2025-12-31,,USD,
DNTH,DIANTHUS THERAPEUTICS INCORPORATED,2026-03-10,2025-12-31,-0.98,USD,
DOMO,DOMO INCORPORATED,2026-03-10,2026-01-31,-0.38,USD,post-market
DOUG,DOUGLAS ELLIMAN INC,2026-03-10,2025-12-31,,USD,
DTCX,DATACENTREX INCORPORATED,2026-03-10,2025-12-31,,USD,
EBS,EMERGENT BIOSOLUTIONS INC,2026-03-10,2025-12-31,0.425,USD,
EDN,EMPRESA DISTRIBUIDORA Y COMERCIAL NORTE S.A.,2026-03-10,2025-12-31,,USD,
ELVUF,ELVUF,2026-03-10,2025-12-31,,USD,
ESAB,ESAB CORP,2026-03-10,2025-12-31,1.35,USD,
ESPR,ESPERION THERAPEUTICS INC,2026-03-10,2025-12-31,0.23,USD,pre-market
EVEX,EVE HOLDING INC,2026-03-10,2025-12-31,-0.14,USD,
EVLV,EVOLV TECHNOLOGIES HOLDINGS INCORPORATED,2026-03-10,2025-12-31,-0.08,USD,post-market
FENG,PHOENIX NEW MEDIA LTD,2026-03-10,2025-12-31,,USD,
FLL,FULL HOUSE RESORTS INC,2026-03-10,2025-12-31,-0.2328,USD,
FMELF,FMELF,2026-03-10,2025-12-31,,USD,
FNV,FRANCO-NEVADA CORPORATION,2026-03-10,2025-12-31,1.68,USD,post-market
FOA,FINANCE OF AMERICA COMPANIES INCORPORATED,2026-03-10,2025-12-31,,USD,post-market
FPAY,FPAY,2026-03-10,2025-12-31,0.1,USD,
FSP,FRANKLIN STREET PROPERTIES CORPORATION,2026-03-10,2025-12-31,,USD,
FTTRF,FTTRF,2026-03-10,2025-12-31,,USD,
FWRG,FIRST WATCH RESTAURANT GROUP INC,2026-03-10,2025-12-31,0.0752,USD,
GALNF,GALNF,2026-03-10,2025-12-31,,USD,
GAUZ,GAUZY LTD,2026-03-10,2025-12-31,,USD,
GBLI,GLOBAL INDEMNITY GROUP LIMITED LIABILITY COMPANY,2026-03-10,2025-12-31,0.89,USD,pre-market
GDPHF,GDPHF,2026-03-10,2025-12-31,,USD,
GRPN,GROUPON INC,2026-03-10,2025-12-31,0.17,USD,post-market
GYYMF,GYYMF,2026-03-10,2025-12-31,,USD,
HOWL,WEREWOLF THERAPEUTICS INC,2026-03-10,2025-12-31,-0.34,USD,
HUGPF,HUGPF,2026-03-10,2025-12-31,1.09,USD,
IDEXY,IDEXY,2026-03-10,2026-01-31,0.1454,USD,
IDT,IDT CORPORATION,2026-03-10,2026-01-31,,USD,post-market
INR,INFINITY NATURAL RESOURCES INC - CLASS A,2026-03-10,2025-12-31,0.65,USD,post-market
INSE,INSPIRED ENTERTAINMENT INC,2026-03-10,2025-12-31,0.25,USD,pre-market
IPWR,IDEAL POWER INC,2026-03-10,2025-12-31,,USD,pre-market
ISDAF,ISDAF,2026-03-10,2025-12-31,0.7,USD,
JARLF,JARLF,2026-03-10,2025-12-31,,USD,
JMHLY,JMHLY,2026-03-10,2025-12-31,,USD,
JOYY,JOYY INCORPORATED,2026-03-10,2025-12-31,1.33,USD,post-market
KDK,KODIAK AI INC,2026-03-10,2025-12-31,-0.16,USD,post-market
KEP,KOREA ELECTRIC POWER,2026-03-10,2025-12-31,,USD,
KMAAF,KMAAF,2026-03-10,2025-12-31,,USD,
KRKR,36KR HOLDINGS INC,2026-03-10,2025-12-31,,USD,
KSS,KOHL`S CORP,2026-03-10,2026-01-31,0.85,USD,pre-market
KVHI,KVH INDUSTRIES INCORPORATED,2026-03-10,2025-12-31,,USD,pre-market
LDI,LOANDEPOT INC - CLASS A,2026-03-10,2025-12-31,-0.06,USD,post-market
LEGN,LEGEND BIOTECH CORP,2026-03-10,2025-12-31,-0.17,USD,pre-market
LGGNY,LGGNY,2026-03-10,2025-12-31,,USD,
LIFZF,LIFZF,2026-03-10,2025-12-31,0.73,USD,
LYEL,LYELL IMMUNOPHARMA INCORPORATED,2026-03-10,2025-12-31,-2.14,USD,
MDV,MODIV INDUSTRIAL INC - CLASS C,2026-03-10,2025-12-31,0.37,USD,
MHTCF,MHTCF,2026-03-10,2026-01-31,8.49,USD,
MNDO,MIND C.T.I. LIMITED,2026-03-10,2025-12-31,,USD,
MSGM,MOTORSPORT GAMES INCORPORATED,2026-03-10,2025-12-31,,USD,post-market
NATR,NATURE`S SUNSHINE PRODUCTS INC,2026-03-10,2025-12-31,,USD,post-market
NERV,MINERVA NEUROSCIENCES INC,2026-03-10,2025-12-31,-0.11,USD,
NIO,NIO INC,2026-03-10,2025-12-31,-0.05,USD,pre-market
NIOIF,NIOIF,2026-03-10,2025-12-31,0.43,USD,
NPCE,NEUROPACE INC,2026-03-10,2025-12-31,-0.1919,USD,
NUWE,NUWELLIS INCORPORATED,2026-03-10,2025-12-31,,USD,pre-market
NVA,NOVA MINERALS LTD,2026-03-10,2025-12-31,,USD,
NVAAF,NVAAF,2026-03-10,2025-12-31,,USD,
NVCT,NUVECTIS PHARMA INC,2026-03-10,2025-12-31,-0.254,USD,
NWPIF,NWPIF,2026-03-10,2025-12-31,,USD,
ODD,ODDITY TECH LTD - CLASS A,2026-03-10,2025-12-31,0.1372,USD,
OILRF,OILRF,2026-03-10,2025-12-31,,USD,
OLPX,OLAPLEX HOLDINGS INC,2026-03-10,2025-12-31,0.0089,USD,
ORCL,ORACLE CORP,2026-03-10,2026-02-28,1.34,USD,post-market
OTTEF,OTTEF,2026-03-10,2025-12-31,,USD,
OVID,OVID THERAPEUTICS INC,2026-03-10,2025-12-31,-0.1,USD,
PANL,PANGAEA LOGISTICS SOLUTIONS LTD,2026-03-10,2025-12-31,0.18,USD,post-market
PBKOF,PBKOF,2026-03-10,2025-12-31,0.37,USD,
PGPHF,PGPHF,2026-03-10,2025-12-31,,USD,
PMTS,CPI CARD GROUP INC,2026-03-10,2025-12-31,0.65,USD,
PROF,PROFOUND MEDICAL CORP,2026-03-10,2025-12-31,-0.302,USD,
PRTH,PRIORITY TECHNOLOGY HOLDINGS INC,2026-03-10,2025-12-31,0.29,USD,pre-market
PTNRF,PTNRF,2026-03-10,2025-12-31,,USD,
QTTB,Q32 BIO INCORPORATED,2026-03-10,2025-12-31,-0.84,USD,
RADLY,RADLY,2026-03-10,2025-12-31,0.0374,USD,
RAPP,RAPPORT THERAPEUTICS INC,2026-03-10,2025-12-31,-0.65,USD,
ROLR,HIGH ROLLER TECHNOLOGIES INC,2026-03-10,2025-12-31,,USD,post-market
RTOXF,RTOXF,2026-03-10,2025-12-31,,USD,
RUBLF,RUBLF,2026-03-10,2025-12-31,0.04,USD,
RXST,RXSIGHT INC,2026-03-10,2025-12-31,-0.338,USD,
SAPMF,SAPMF,2026-03-10,2025-12-31,0.06,USD,
SDOT,SADOT GROUP INCORPORATED,2026-03-10,2025-12-31,,USD,
SE,SEA LTD,2026-03-10,2025-12-31,0.8022,USD,
SFRGY,SFRGY,2026-03-10,2025-12-31,-0.0352,USD,
SI,SHOULDER INNOVATIONS INC,2026-03-10,2025-12-31,-0.42,USD,post-market
SIEVF,SIEVF,2026-03-10,2025-12-31,,USD,
SIGA,SIGA TECHNOLOGIES INC,2026-03-10,2025-12-31,,USD,post-market
SITIF,SITIF,2026-03-10,2025-12-31,,USD,
SKYE,SKYE BIOSCIENCE INCORPORATED,2026-03-10,2025-12-31,-0.29,USD,post-market
SLND,SOUTHLAND HOLDINGS INCORPORATED,2026-03-10,2025-12-31,-0.21,USD,
SMLR,SMLR,2026-03-10,2025-12-31,-0.25,USD,
SNVVF,SNVVF,2026-03-10,2025-12-31,-0.09,USD,
SPXSF,SPXSF,2026-03-10,2025-12-31,,USD,
SRRK,SCHOLAR ROCK HOLDING CORP,2026-03-10,2025-12-31,-0.8983,USD,
SRSSF,SRSSF,2026-03-10,2025-12-31,,USD,
SSII,SS INNOVATIONS INTERNATIONAL INC,2026-03-10,2025-12-31,,USD,
SSSS,SURO CAPITAL CORP,2026-03-10,2025-12-31,,USD,post-market
STGW,STAGWELL INC - CLASS A,2026-03-10,2025-12-31,0.25,USD,pre-market
SVGAF,SVGAF,2026-03-10,2025-12-31,,USD,
SWIM,LATHAM GROUP INC,2026-03-10,2025-12-31,-0.09,USD,
SYYYF,SYYYF,2026-03-10,2025-12-31,,USD,
TACT,TRANSACT TECHNOLOGIES INC,2026-03-10,2025-12-31,,USD,post-market
TAOFF,TAOFF,2026-03-10,2025-12-31,,USD,
TCGGY,TCGGY,2026-03-10,2025-12-31,,USD,
TCLAF,TCLAF,2026-03-10,2026-01-31,0.16,USD,
TCLCF,TCLCF,2026-03-10,2026-01-31,,USD,
TELO,TELOMIR PHARMACEUTICALS INC,2026-03-10,2025-12-31,-0.07,USD,
TIL,INSTIL BIO INCORPORATED,2026-03-10,2025-12-31,-2.31,USD,
TOTZF,TOTZF,2026-03-10,2025-12-31,0.46,USD,
TVRD,CARA THERAPEUTICS INC,2026-03-10,2025-12-31,-0.55,USD,
UEC,URANIUM ENERGY CORP,2026-03-10,2026-01-31,-0.06,USD,pre-market
UFPT,UFP TECHNOLOGIES INC,2026-03-10,2025-12-31,2.2,USD,
UNFI,UNITED NATURAL FOODS INC,2026-03-10,2026-01-31,0.51,USD,pre-market
UZAPF,UZAPF,2026-03-10,2025-12-31,,USD,
VHI,VALHI INC,2026-03-10,2025-12-31,,USD,post-market
VLGEA,VILLAGE SUPER MARKET INCORPORATED,2026-03-10,2026-01-31,,USD,
VLKAF,VLKAF,2026-03-10,2025-12-31,5.16,USD,
VMD,VIEMED HEALTHCARE INC,2026-03-10,2025-12-31,0.13,USD,
VRM,VROOM INCORPORATED,2026-03-10,2025-12-31,,USD,
VTOL,BRISTOW GROUP INC,2026-03-10,2025-12-31,0.97,USD,
VWAGY,VWAGY,2026-03-10,2025-12-31,1.55,USD,
VWAPY,VWAPY,2026-03-10,2025-12-31,0.6915,USD,
VYGR,VOYAGER THERAPEUTICS INC,2026-03-10,2025-12-31,-0.54,USD,
WECFF,WECFF,2026-03-10,2025-12-31,,USD,
WEST,WESTROCK COFFEE COMPANY,2026-03-10,2025-12-31,-0.1,USD,post-market
WFRSF,WFRSF,2026-03-10,2025-12-31,,USD,
WILC,G. WILLI-FOOD INTERNATIONAL LIMITED,2026-03-10,2025-12-31,,USD,
WLFC,WILLIS LEASE FINANCE CORP,2026-03-10,2025-12-31,,USD,pre-market
WMK,WEIS MARKETS INCORPORATED,2026-03-10,2025-12-31,,USD,
WRFRF,WRFRF,2026-03-10,2025-12-31,,USD,
WVE,WAVE LIFE SCIENCES LTD,2026-03-10,2025-12-31,-0.2704,USD,
XGN,EXAGEN INC,2026-03-10,2025-12-31,-0.2,USD,pre-market
XLO,XILIO THERAPEUTICS INCORPORATED,2026-03-10,2025-12-31,-0.12,USD,
XPL,SOLITARIO RESOURCES CORPORATION,2026-03-10,2025-12-31,-0.01,USD,
YORW,YORK WATER COMPANY,2026-03-10,2025-12-31,0.36,USD,
ACTG,ACACIA RESEARCH CORP,2026-03-11,2025-12-31,,USD,pre-market
ADDYY,ADDYY,2026-03-11,2025-12-31,0.2204,USD,
ADGM,ADAGIO MEDICAL HOLDINGS INCORPORATED,2026-03-11,2025-12-31,,USD,
ADRZY,ADRZY,2026-03-11,2025-12-31,0.3883,USD,
AFGVF,AFGVF,2026-03-11,2025-12-31,-0.06,USD,
AFGVY,AFGVY,2026-03-11,2025-12-31,-0.1392,USD,
AGREF,AGREF,2026-03-11,2025-12-31,,USD,
ALGEF,ALGEF,2026-03-11,2025-12-31,,USD,
ALTO,ALTO INGREDIENTS INC,2026-03-11,2025-12-31,-0.035,USD,
AMNF,AMNF,2026-03-11,2025-12-31,0,USD,
ANSNF,ANSNF,2026-03-11,2025-12-31,,USD,
AP,AMPCO-PITTSBURGH CORP,2026-03-11,2025-12-31,,USD,
APT,ALPHA PRO TECH LTD,2026-03-11,2025-12-31,,USD,
